id,question,answer1,answer2,answer3,answer4,correct_answer,figure,paragraph,subject
139,"De los siguientes acontecimientos, clasifica los que correspondan al gobierno de Gustavo Díaz Ordaz (I) y los que correspondan al gobierno de Luis Echeverría (II) ","I: c, d, e - II: a, b, f","I: a, c, e - II: a, c, e","I: b, d, d - II: a, c, e","I: d, e, f - II: a, b, c",2,9,,9
140,¿Cuáles eras las clases sociales en la Nueva España?,"Burgueses, proletariado y clero ","Patricios, plebeyos, y esclavos","Protestantes, católicos y puritanos","Peninsulares, criollos y mestizos",4,,,9
141,Una consecuencia económica de las Reformas Borbónicas a la Nueva España fue:,"Facilitar el comercio entre España y la Nueva España para lograr una mayor recaudación de la Corona española, quitándole privilegios a las autoridades locales
",Acrecentar el poder político local y disminuir la explotación mineral ,Dar mayor autonomía a las colonias españolas y facilitar el comercio con Inglaterra,,1,,,9
142,Causas internas de la Independencia,Pago justo de impuestos por parte de los peninsulares,Restricción de la participación política de los criollos ,Consolidación de poder político de los indígenas,Declaración de los Derechos del Hombre,2,,,9
143,"En los primeros años del México independiente, ¿qué grupos influyeron en el gobierno del país?",Ayuntamientos ,Logias masónicas,Sociedades mutualistas,Partidos políticos,3,,,9
144,"Territorios que fueron cedidos por Méxio tras la guerra contra Estados Unidos:
","Baja California, Texas y La Mesilla","Nuevo México, La Mesilla y Alta California","Texas, Nuevo México y Arizona","Nuevo México, Alta California y Arizona ",4,,,9
145,"El 1º de Marzo de 1854 fue promulgado el Plan de Ayutla, el cual tuvo como objetivo:",Dar fin a la Intervención Francesa,Apoyar el intervencionismo estadounidense,Derrocar al gobierno de Santa Ana,"Detener el expansionismo estadounidense
",3,,,9
146,Una de las razones por las cuales se debilitó el Imperio de Maximiliano fue:,Napoleón II retiró a su ejercito para conquistar a España,Descontento de los conservadores por el establecimeinto de medidas liberales,Perdida de apoyo del emperador Austrohúngaro,Establecimiento de medidas contra los indígenas,2,,,9
147,Algunos objetivos del gobierno liberal en México fueron:,El establecimiento del Registro Civil y Estado laico ,El mantenimiento de fueros eclesiásticos y militares,El combate al intervencionismo norteamericano y apoyo a las potencias europeas,La creación de cooperativas autónomas y reparto agrario ,1,,,9
148,El periodo conocido como Maximato en que el poder se ejercia tras la presidencia fue dirigido por:,Lázaro Cárdenas,Álvaro Obregón ,Emilio Portes Gil,Plutarco Elías Calles,4,,,9
149,Algunas características del gobierno de Lázaro Cárdenas fueron:,"I, IV, V","V, III, I","I, IV, II","III, IV, V",1,18,,9
150,El pacto migratorio firmado en 1941 entre EU y México tenía por objetivo:,Evitar la emigración ilegal,Apoyar la mano de obra barata a la industria norteamericana,Combatir el comercio informal de armas,Contribuir con soldados mexicanos a los Aliados,2,"
",,9
151,Algunos acontecimientos pertenecientes al gobierno de Adolfo López Mateos son:,"II, III, IV","I, III, VI","V, III, IV","I, III, V",2,19,,9
152,Características del gobierno de Gustavo Díaz Ordaz,"I, II, III","I, II, V","I, II, IV","III, IV, V",3,20,,9
153,Un crecimiento económico sostenido de más de 7% anual y la construcción de infraestructura y la sustitución de importaciones fueron hechos que se conocieron como :,Unidad nacional ,Plan Sexenal,Desarrollo estabilizador,Presidencialismo ,3,,,9
154,Son características del gobierno de José López Portillo,"Rompimiento de relaciones con la URSS y creación del CONACyT
",Devaluación del peso y firma del TLC,Nacionalización de la banca y el establecimiento del IVA,Guerra Sucia y Tratados de Tlatelolco,3,,,9
155,Presidente con el que comenzo el neoliberalismo:,Carlos Salinas de Gortari,Miguel de la Madrid,José López Portillo,Gustavo Díaz Ordaz,2,,,9
156,¿Con qué presidente se intensificó el neoliberalismo en México?,Carlos Salinas de Gortari,Miguel de la Madrid,José López Portillo,Gustavo Díaz Ordaz,1,,,9
157,"¿Qué función de la lenguna predomina en la siguiente proposición? 
 ",Metalingüística,Apelativa,Referencial,Sintomática,3,,1,7
158,Identifica el enunciado en el que se usa la función poética de la lengua,Sentir que es un soplo la vida,Fue caminando sobre la colina,El niño era muy pobre,Algunas vecesse sentía triste,1,,,7
